"Program","Project","Processes","TimeStamp(HH:mm:ss)","CPU(%)","RAM(MB)"
"Notepad","Mindustry","1","17:14:04","0","122.43"
"Notepad","Mindustry","1","17:14:05","0","122.43"
"Notepad","Mindustry","1","17:14:06","0","122.43"
"Notepad","Mindustry","1","17:14:08","0","122.43"
"Notepad","Mindustry","1","17:14:09","0","122.43"
"Notepad","Mindustry","1","17:14:10","0","122.43"
"Notepad","Mindustry","1","17:14:11","0","122.43"
"Notepad","Mindustry","1","17:14:12","0","122.43"
"Notepad","Mindustry","1","17:14:13","0","122.43"
"Notepad","Mindustry","1","17:14:14","0","122.43"
"Notepad","Cake","1","17:15:15","0","130.48"
"Notepad","Cake","1","17:15:16","0","130.48"
"Notepad","Cake","1","17:15:17","0","130.48"
"Notepad","Cake","1","17:15:18","0","130.48"
"Notepad","Cake","1","17:15:20","0","130.48"
"Notepad","Cake","1","17:15:21","0","130.48"
"Notepad","Cake","1","17:15:22","0","130.48"
"Notepad","Cake","1","17:15:23","0","130.48"
"Notepad","Cake","1","17:15:24","0","130.48"
"Notepad","Cake","1","17:15:25","0","130.48"
"Notepad","Cake","1","17:15:26","0","130.48"
"Notepad","Cake","1","17:15:28","0","130.48"
"Notepad","Cake","1","17:15:29","0","130.48"
"Notepad","Cake","1","17:15:30","0","130.48"
"Notepad","Cake","1","17:15:31","0","130.48"
"Notepad","Cake","1","17:15:32","0","130.48"
"Notepad","Cake","1","17:15:33","0","130.48"
"Notepad","Cake","1","17:15:34","0","130.48"
"Notepad","Cake","1","17:15:36","0","130.48"
"Notepad","Cake","1","17:15:37","0","130.43"
"Notepad","Cake","1","17:15:38","0","130.43"
"Notepad","Cake","1","17:15:39","0","130.43"
"Notepad","Cake","1","17:15:40","0","130.43"
"Notepad","Cake","1","17:15:41","0","130.43"
"Notepad","Cake","1","17:15:42","0","130.43"
"Notepad","Cake","1","17:15:43","0","130.43"
"Notepad","Cake","1","17:15:45","0","130.43"
"Notepad","Cake","1","17:15:46","0","130.43"
"Notepad","Cake","1","17:15:47","0","130.43"
"Notepad","Cake","1","17:15:48","0","130.43"
"VisualStudio","Cake","14","16:57:14","0","1323.68"
"VisualStudio","Cake","14","16:57:16","0","1323.7"
"VisualStudio","Cake","14","16:57:18","0","1323.37"
"VisualStudio","Cake","14","16:57:20","0","1321.91"
"VisualStudio","Cake","14","16:57:22","0","1321.8"
"VisualStudio","Cake","14","16:57:24","0","1321.68"
"VisualStudio","Cake","14","16:57:26","0","1322.05"
"VisualStudio","Cake","14","16:57:29","0","1321.97"
"VisualStudio","Cake","14","16:57:31","0","1321.98"
"VisualStudio","Cake","14","16:57:33","0","1321.86"
"VisualStudio","Cake","14","16:57:35","0","1321.91"
"VisualStudio","Cake","14","16:57:37","0","1321.83"
"VisualStudio","Cake","14","16:57:39","0","1321.84"
"VisualStudio","Cake","14","16:57:41","0","1321.78"
"VisualStudio","Cake","14","16:57:43","0","1321.03"
"VisualStudio","Cake","14","16:57:45","0","1321.2"
"VisualStudio","Cake","14","16:57:47","0","1321.03"
"VisualStudio","Cake","14","16:57:49","0","1320.98"
"VisualStudio","Cake","14","16:57:52","0","1321"
"VisualStudio","Cake","14","16:57:54","0","1320.92"
"VisualStudio","Cake","14","16:57:56","0","1320.88"
"VisualStudio","Cake","14","16:57:58","0","1320.82"
"VisualStudio","Cake","14","16:58:00","0","1320.72"
"VisualStudio","Cake","14","16:58:02","0","1320.63"
"VisualStudio","Cake","14","16:58:04","0","1320.57"
"VisualStudio","Cake","14","16:58:06","0","1320.51"
"VisualStudio","Cake","14","16:58:08","0","1320.4"
"VisualStudio","Cake","14","16:58:10","0.09","1320.46"
"VisualStudio","Cake","14","16:58:12","0.05","1320.41"
"VisualStudio","Cake","14","16:58:15","0","1320.16"
"VSCode","Cake","18","16:50:19","3.06","748.64"
"VSCode","Cake","18","16:50:21","2.88","767.07"
"VSCode","Cake","18","16:50:23","4.45","820.63"
"VSCode","Cake","18","16:50:26","1.98","845.88"
"VSCode","Cake","18","16:50:28","0","843.33"
"VSCode","Cake","18","16:50:31","0.08","851.94"
"VSCode","Cake","18","16:50:33","0.16","854.05"
"VSCode","Cake","18","16:50:36","0","842.69"
"VSCode","Cake","18","16:50:38","0","842.93"
"VSCode","Cake","18","16:50:40","0.08","840.99"
"VSCode","Cake","18","16:50:43","0","841.92"
"VSCode","Cake","18","16:50:45","0","841.9"
"VSCode","Cake","18","16:50:48","0","840.68"
